1,20-家具、非金属工艺品,打印驳回或部分驳回通知书,待审,11409103
2,20-家具、非金属工艺品,商标注册申请完成,待审,13147654
3,21-厨房器皿洁具,商标注册申请中,待审,14087094
4,25-服装鞋帽,商标注册申请中,有效,10274013
5,09-软件产品、科学仪器,商标注册申请中,有效,3862088
6,43-餐饮、住宿服务,商标注册申请中,有效,9051003
7,16-书刊、办公用品,商标无效,无效,11757535
8,09-软件产品、科学仪器,商标注册申请完成,待审,13041095
9,16-书刊、办公用品,商标注册申请注册公告排版完成,待审,15460338
10,02-颜料涂料,商标注册申请中,待审,15460339
11,02-颜料涂料,,不定,18660593
12,16-书刊、办公用品,商标注册申请中,有效,9135218
13,16-书刊、办公用品,商标注册申请中,有效,9175760
14,16-书刊、办公用品,商标注册申请中,有效,9175768
15,16-书刊、办公用品,注册申请初步审定,有效,9175774
16,16-书刊、办公用品,商标注册申请中,有效,9175777
17,06-金属材料器具,商标注册申请中,有效,10047172
18,16-书刊、办公用品,商标注册申请中,有效,10047194
19,18-皮革、雨伞,商标已注册,有效,10274246
20,44-医疗、园艺服务,,待审,21172240
21,01-化工原料试剂,注册申请初步审定,有效,6635353
22,05-医药制品,商标注册申请中,有效,6635354
23,03-日化用品,商标注册申请中,有效,7295441
24,28-玩具、体育用品,商标无效,无效,1343171
25,05-医药制品,商标无效,无效,1285219
26,11-家电照明设备,,不定,16782480
27,42-科研服务,,无效,18139766
28,09-软件产品、科学仪器,,不定,18139765
29,38-电讯、通信服务,,不定,18139767
30,32-饮料啤酒,商标注册申请中,有效,3608423
31,32-饮料啤酒,注册申请部分驳回,待审,5312403
32,32-饮料啤酒,商标注册申请中,待审,5678574
33,32-饮料啤酒,商标注册申请中,有效,5940012
34,32-饮料啤酒,商标注册申请中,有效,6478767
35,32-饮料啤酒,商标注册申请中,有效,7256733
36,32-饮料啤酒,商标转让完成,待审,7256734
37,32-饮料啤酒,商标注册申请中,待审,7690375
38,32-饮料啤酒,商标注册申请中,有效,7856706
39,32-饮料啤酒,商标转让中,待审,7957674
40,32-饮料啤酒,商标转让待审中,有效,8923467
41,20-家具、非金属工艺品,商标注册申请中,有效,9639245
42,38-电讯、通信服务,商标注册申请中,有效,9783909
43,38-电讯、通信服务,商标注册申请中,有效,10236251
44,09-软件产品、科学仪器,商标已注册,有效,10236203
45,35-广告、销售、商业服务,注册申请初步审定,有效,11445638
46,35-广告、销售、商业服务,商标注册申请中,待审,11432838
47,24-布料床上用品,商标注册申请中,有效,11439830
48,26-服饰用品,商标注册申请中,有效,11445580
49,26-服饰用品,商标注册申请中,有效,11439853
50,26-服饰用品,商标已注册,有效,6604259
51,26-服饰用品,商标无效,无效,6887092
52,35-广告、销售、商业服务,,不定,19132497
53,28-玩具、体育用品,商标无效,无效,14790086
54,09-软件产品、科学仪器,商标注册申请中,待审,14790049
55,09-软件产品、科学仪器,商标注册申请中,待审,14790147
56,28-玩具、体育用品,驳回复审中,待审,14790128
57,05-医药制品,未知,待审,14790173
58,10-医疗器械,未知,待审,14790231
59,10-医疗器械,商标注册申请中,不定,15028048
60,10-医疗器械,商标注册申请中,不定,15028084
61,10-医疗器械,商标注册申请注册公告排版完成,不定,15028048A
62,25-服装鞋帽,,不定,21232164
63,25-服装鞋帽,,待审,21463435
64,25-服装鞋帽,,不定,21463447
65,10-医疗器械,,不定,23409511
66,28-玩具、体育用品,,不定,23409701
67,35-广告、销售、商业服务,,不定,23409816
68,35-广告、销售、商业服务,,不定,23409942
69,10-医疗器械,商标注册申请中,有效,6835173
70,10-医疗器械,注册申请初步审定,有效,6683828
71,10-医疗器械,商标已注册,有效,8457460
72,25-服装鞋帽,注册申请初步审定,有效,9546807
73,25-服装鞋帽,注册申请初步审定,有效,10076307
74,25-服装鞋帽,打印驳回或部分驳回通知书,无效,10076319
75,35-广告、销售、商业服务,商标注册申请中,有效,9294772
76,09-软件产品、科学仪器,,不定,16635262
77,35-广告、销售、商业服务,商标注册申请中,不定,16635263
78,09-软件产品、科学仪器,,不定,19835610
79,35-广告、销售、商业服务,,不定,19835619
80,07-机械设备,,不定,19835779
81,22-绳、网及包装物,商标注册申请中,有效,8675387
82,24-布料床上用品,商标注册申请注册公告排版完成,待审,12808201
83,25-服装鞋帽,商标无效,无效,1613437
84,01-化工原料试剂,注册申请部分驳回,有效,4045615
85,25-服装鞋帽,商标注册申请等待驳回通知发文,无效,14860865
86,25-服装鞋帽,驳回复审中,待审,17777793
87,25-服装鞋帽,,不定,19931354
88,02-颜料涂料,商标注册申请中,无效,8839674
89,25-服装鞋帽,商标注册申请完成,待审,11811952
90,25-服装鞋帽,商标注册申请中,有效,9337424
91,09-软件产品、科学仪器,商标注册申请中,待审,12637777
92,24-布料床上用品,商标注册申请中,有效,11400802
93,11-家电照明设备,商标注册申请等待驳回复审,无效,15486134
94,11-家电照明设备,商标注册申请等待驳回通知发文,待审,16485070
95,21-厨房器皿洁具,商标注册申请受理通知书发文,无效,16131382
96,20-家具、非金属工艺品,商标注册申请等待驳回通知发文,待审,16131383
97,24-布料床上用品,商标注册申请等待驳回复审,待审,16484996
98,11-家电照明设备,,不定,16484997
99,20-家具、非金属工艺品,商标注册申请受理通知书发文,不定,16484995
100,11-家电照明设备,,不定,18766336
101,11-家电照明设备,,不定,19855478
102,11-家电照明设备,,不定,21539944
103,11-家电照明设备,注册申请部分驳回,有效,6560543
104,11-家电照明设备,注册申请部分驳回,有效,6477146
105,07-机械设备,商标已注册,有效,8708420
106,11-家电照明设备,商标注册申请中,无效,8498975
107,11-家电照明设备,商标无效,无效,10017277
108,11-家电照明设备,商标注册申请中,有效,10017331
109,11-家电照明设备,商标注册申请中,待审,13698475
110,11-家电照明设备,商标无效,无效,10630593
111,30-糖、茶、糕点、调味品,商标注册申请受理通知书发文,待审,15047531
112,29-肉、蛋、奶、食用油,商标注册申请中,无效,15047532
113,35-广告、销售、商业服务,商标注册申请中,无效,15047533
114,31-新鲜蔬果,未知,不定,15047534
115,30-糖、茶、糕点、调味品,商标无效,无效,15270964
116,25-服装鞋帽,商标注册申请受理通知书发文,不定,15748852
117,09-软件产品、科学仪器,商标无效,无效,2021341
118,16-书刊、办公用品,商标注册申请中,有效,10121854
119,30-糖、茶、糕点、调味品,商标注册申请中,有效,10121925
120,19-非金属建材,注册申请初步审定,有效,7425526
121,06-金属材料器具,商标注册申请注册公告排版完成,待审,12999564
122,06-金属材料器具,商标注册申请注册公告排版完成,待审,12999586
123,44-医疗、园艺服务,商标注册申请中,有效,4972250
124,14-珠宝钟表,商标注册申请中,有效,4972251
125,41-教育、娱乐服务,商标注册申请中,有效,4972252
126,22-绳、网及包装物,商标无效,无效,11661215
127,22-绳、网及包装物,商标无效,无效,12520759
128,20-家具、非金属工艺品,商标注册申请完成,待审,12615745
129,20-家具、非金属工艺品,商标注册申请中,无效,15752433
130,22-绳、网及包装物,商标注册申请中,待审,15752452
131,25-服装鞋帽,商标注册申请等待驳回通知发文,无效,15752515
132,18-皮革、雨伞,商标注册申请受理通知书发文,待审,15752652
133,12-交通工具,商标注册申请中,待审,15752636
134,20-家具、非金属工艺品,,不定,20010959
135,06-金属材料器具,驳回复审评审实审裁文等待实审裁文发文,不定,13208943
136,07-机械设备,驳回复审中,待审,15490150
137,16-书刊、办公用品,商标注册申请中,待审,16836108
138,16-书刊、办公用品,,不定,16836137
139,07-机械设备,,不定,16836250
140,01-化工原料试剂,,不定,19778981
141,37-安装修理、建筑装潢服务,,不定,21349402
142,43-餐饮、住宿服务,,不定,21349406
143,45-社交、法律服务,,不定,21349398
144,39-旅游、物流服务,,不定,21349409
145,16-书刊、办公用品,,不定,21349413
146,36-保险、金融、不动产服务,,不定,21349415
147,43-餐饮、住宿服务,,不定,21349400
148,42-科研服务,,不定,21349401
149,45-社交、法律服务,,不定,21349404
150,37-安装修理、建筑装潢服务,,待审,21408248
151,41-教育、娱乐服务,,待审,21408251
152,36-保险、金融、不动产服务,,待审,21408247
153,42-科研服务,,待审,21408252
154,44-医疗、园艺服务,,不定,21349405
155,44-医疗、园艺服务,,不定,21349399
156,40-材料加工,,不定,21349408
157,36-保险、金融、不动产服务,,不定,21349411
158,16-书刊、办公用品,,待审,21408245
159,35-广告、销售、商业服务,,待审,21408246
160,45-社交、法律服务,,待审,21408255
161,39-旅游、物流服务,,待审,21408249
162,40-材料加工,,待审,21408250
163,43-餐饮、住宿服务,,待审,21408253
164,44-医疗、园艺服务,,待审,21408254
165,37-安装修理、建筑装潢服务,,不定,21349410
166,41-教育、娱乐服务,,不定,21349414
167,35-广告、销售、商业服务,,不定,21349412
168,35-广告、销售、商业服务,商标注册申请受理通知书发文,不定,21349403
169,42-科研服务,商标注册申请中,不定,21349407
