1,2017-04-25,投资人,1 北京霹雳牛广告传媒有限公司 法人股东2 北京金世纪环球医药科技发展中心 企业法人3 鲍淑德 自然人股东4 麒麟泰 自然人股东,1 北京金世纪环球医药科技发展中心 企业法人2 鲍淑德 自然人股东3 麒麟泰 自然人股东,2017-05-26,1065
2,2016-05-20,注册资本,10万元,500万元,2017-03-18,1065
3,2016-05-20,投资人,变更前(注：标有*标志的为法定代表人)1 鲍淑德* 执行董事2 麒麟泰 总经理3 胡佩章 监事,变更后(注：标有*标志的为法定代表人)1 麒麟泰* 执行董事2 郑红 经理3 鲍淑德 监事4 才振宇 监事,2017-03-18,1065
4,2016-05-20,法定代表人,鲍淑德,麒麟泰,2017-03-13,1065
5,2016-05-20,投资人,1 鲍淑德 自然人股东2 麒麟泰 自然人股东,1 北京霹雳牛广告传媒有限公司 法人股东2 北京金世纪环球医药科技发展中心 企业法人3 鲍淑德 自然人股东4 麒麟泰 自然人股东,2017-03-13,1065
6,2016-05-20,股东改变姓名或名称,麒麟泰,北京霹雳牛广告传媒有限公司,2017-03-13,1065
7,2016-05-20,企业类型,有限责任公司(自然人投资或控股),其他有限责任公司,2017-03-13,1065
8,2016-05-20,董事(理事)、经理、监事,(注：标有*标志的为法定代表人)1 鲍淑德* 执行董事2 麒麟泰 总经理3 胡佩章 监事,(注：标有*标志的为法定代表人)1 麒麟泰* 执行董事2 郑红 经理3 鲍淑德 监事4 才振宇 监事,2017-03-13,1065
9,2010-09-20,住所,北京市朝阳区惠新北里16号(住宅)楼商业1层,北京市海淀区阜光里6号楼地03室(住宅),2017-03-13,1065
10,2010-09-20,实缴的出资额,1 麒麟泰 5 自然人股东2 鲍淑德 5 自然人股东,1 鲍淑德 5 自然人股东2 麒麟泰 5 自然人股东,2017-03-13,1065
11,2014-05-12,注册资本,600万元,1001万元,2017-03-21,1172
12,2012-10-29,住所,北京市海淀区上地创业中路26号1层1号,北京市海淀区上地四街3号二层296室,2017-03-12,1172
13,2012-10-29,经营范围,法律、行政法规、国务院决定禁止的，不得经营；法律、行政法规、国务院决定规定应经许可的，经审批机关批准并经工商行政管理机关登记注册后方可经营；法律、行政法规、国务院决定未规定许可的，自主选择经营项目开展经营活动。(实缴注册资本６００万元，其中非专利技术出资５９５万元。)(知识产权出资为595.0万元),技术开发、技术咨询、技术服务；计算机系统服务；计算机技术培训；计算机维修；机械设备租赁(不含汽车租赁)；企业策划、设计；承办展览展示活动；销售计算机、软件及辅助设备、通讯设备、机械设备、电子产品。(未取得行政许可项目除外)。(知识产权出资为595.0万元),2017-03-12,1172
14,2012-06-18,"认缴的出资额,实缴的出资额,实缴的出资额",1 赵中华 50 自然人股东,1 赵中华 168 自然人股东,2017-06-07,1258
15,2012-06-18,注册资本,50万元,168万元,2017-03-13,1258
16,2012-06-18,实收资本(金),50 万元,168 万元,2017-03-13,1258
17,2012-06-18,经营范围,法律、行政法规、国务院决定禁止的、不得经营；法律、行政法规、国务院决定规定应经许可的，经审批机关批准并经工商行政管理机关登记注册后方可经营；法律、行政法规、国务院决定未规定许可的，自主选择经营项目开展经营活动。,技术开发；维修机械电气设备；租赁机械电气设备；销售五金交电、化工产品(危险化学品除外)、机械电器、通讯器材、交通器材、消防器材、汽车配件、建筑材料、日用品、文化办公用品、空调制冷设备、计算机及辅助产品。,2017-03-13,1258
18,2012-06-18,"认缴的出资额,实缴的出资额",1 赵中华 50 自然人股东,1 赵中华 168 自然人股东,2017-03-13,1258
19,2014-06-25,注册资本,50万元,500万元,2017-03-18,1301
20,2012-03-22,法定代表人,张志成,马存利,2017-03-14,1301
21,2012-03-22,投资人,1 张志成 50 自然人股东,1 马存利 50 自然人股东,2017-03-14,1301
