6289,张连君,法定代表人,1000
6290,郜学明,法定代表人,1017
1,迟立先,监事,1017
2,郜学明,执行董事,1017
3,郜学明,总经理,1017
4,才振宇,监事,1065
6291,麒麟泰,法定代表人,1065
6292,赵中华,法定代表人,1258
6293,马存利,法定代表人,1301
6294,彭杰,法定代表人,1307
6295,高德,法定代表人,1418
6296,孙潘竹,法定代表人,1617
6,孙潘竹,总经理,1617
5,孙潘竹,执行董事,1617
6297,姜俊红,法定代表人,1659
7,施希存,监事,1659
6298,张建江,法定代表人,1671
6299,陈晓东,法定代表人,1680
6300,刘巍,法定代表人,1778
8,逄煜姝,监事,1778
9,姜俊红,负责人,1803
6301,姜俊红,法定代表人,1803
6302,王胜昔,法定代表人,1902
6303,高华,法定代表人,1966
6304,杨文龙,法定代表人,2014
6305,刘庆军,法定代表人,2069
6306,刘巍,法定代表人,2138
6307,邓奎,法定代表人,2299
6308,祁纯阳,法定代表人,2344
6309,刘在停,法定代表人,2435
12,刘在停,经理,2435
11,刘在停,执行董事,2435
10,陈连荣,监事,2435
13,高菊敏,监事,2467
6310,苏亚娟,法定代表人,2467
15,史文春,经理,2481
6311,史文春,法定代表人,2481
14,史文春,执行董事,2481
16,米朋芳,监事,2546
6312,米军,法定代表人,2546
6313,李春芬,法定代表人,2580
17,付守雅,理事,2668
18,刘会婷,理事,2668
6314,徐振山,法定代表人,2668
6315,王新勇,法定代表人,2736
6316,张弓,法定代表人,2812
6317,李武德,法定代表人,2931
6318,高荣涛,法定代表人,2964
19,高荣涛,执行董事,2964
20,高荣涛,总经理,2964
6319,黄国杰,法定代表人,3025
21,王秘芬,监事,3109
6320,崔淑学,法定代表人,3109
6321,罗静,法定代表人,3142
6322,华玉龙,法定代表人,3345
6323,焦庆杰,法定代表人,3432
6324,励伟玉,法定代表人,3439
22,黄钟林,监事,3439
6325,王丁丁,法定代表人,3518
6326,吴章云,法定代表人,3595
6327,王俊涛,法定代表人,3677
6328,钟宏中,法定代表人,3745
6329,廖静,法定代表人,3854
23,杨彪武,监事,3854
6330,窦荣民,法定代表人,3900
6331,吴常升,法定代表人,3972
6332,张建华,法定代表人,4035
6333,郭健,法定代表人,4053
6334,周建生,法定代表人,4403
